transaction_id,user_id,device_id,card_id,ip_address,merchant_id,amount,timestamp,channel,country,is_fraud
T000030,U0103,D0080,C0383,IP0205,M0086,120.89,2026-01-19T14:51:00,mobile,NG,1
T000031,U0232,D0031,C0066,IP0127,M0029,496.45,2026-01-17T18:11:00,mobile,US,1
T000032,U0302,D0142,C0226,IP0118,M0076,115.73,2026-01-08T21:49:00,web,US,0
T000033,U0363,D0162,C0070,IP0031,M0030,50.49,2026-02-21T20:36:00,web,RU,0
T000034,U0170,D0019,C0498,IP0122,M0036,125.29,2026-02-18T05:56:00,web,NG,0
T000035,U0068,D0147,C0485,IP0243,M0032,331.21,2026-01-31T12:03:00,mobile,IN,0
T000036,U0049,D0025,C0434,IP0221,M0046,60.59,2026-02-09T18:31:00,mobile,CA,0
T000037,U0443,D0014,C0413,IP0051,M0008,144.98,2026-02-20T10:44:00,pos,GB,0
T000038,U0410,D0028,C0195,IP0128,M0025,1506.39,2026-01-07T08:29:00,pos,CA,0
T000039,U0072,D0109,C0474,IP0094,M0036,91.16,2026-01-26T22:11:00,web,RU,1
T000040,U0473,D0020,C0101,IP0227,M0071,405.8,2026-01-29T01:01:00,web,BR,0
T000041,U0277,D0015,C0171,IP0012,M0089,103.27,2026-02-15T21:48:00,mobile,CA,1
T000042,U0247,D0055,C0169,IP0206,M0008,373.85,2026-02-06T08:39:00,mobile,US,0
T000043,U0200,D0068,C0434,IP0233,M0037,28.02,2026-02-01T20:39:00,pos,BR,0
T000044,U0402,D0143,C0195,IP0250,M0020,762.74,2026-01-15T20:53:00,mobile,IN,1
T000045,U0496,D0015,C0059,IP0032,M0041,84.08,2026-01-22T11:19:00,web,NG,1
T000046,U0245,D0129,C0521,IP0081,M0008,95.08,2026-01-09T18:29:00,web,RU,1
T000047,U0096,D0018,C0241,IP0035,M0087,83.42,2026-02-04T15:28:00,mobile,US,0
T000048,U0483,D0146,C0609,IP0127,M0075,93.09,2026-01-10T05:12:00,web,NG,1
T000049,U0042,D0108,C0210,IP0162,M0034,194.72,2026-01-31T23:02:00,pos,BR,0
T000050,U0161,D0062,C0135,IP0136,M0051,128.14,2026-02-10T20:13:00,pos,BR,0
T000051,U0154,D0118,C0010,IP0162,M0010,166.75,2026-01-30T14:02:00,mobile,NG,0
T000052,U0289,D0026,C0219,IP0038,M0069,586.02,2026-01-11T21:21:00,pos,GB,1
T000053,U0068,D0090,C0379,IP0036,M0032,39.95,2026-01-06T14:22:00,mobile,IN,0
T000054,U0225,D0140,C0542,IP0155,M0079,21.23,2026-02-20T00:10:00,web,BR,0
T000055,U0419,D0142,C0107,IP0154,M0085,40.03,2026-01-20T05:48:00,web,GB,0
T000056,U0060,D0028,C0289,IP0080,M0035,90.72,2026-02-18T02:55:00,pos,IN,0
T000057,U0368,D0088,C0271,IP0105,M0088,141.54,2026-02-28T00:27:00,pos,CA,0
T000058,U0129,D0014,C0434,IP0048,M0082,144.97,2026-02-21T10:54:00,mobile,US,0
T000059,U0002,D0086,C0269,IP0067,M0082,20.97,2026-01-10T21:46:00,web,BR,0
T000060,U0227,D0142,C0010,IP0219,M0072,288.25,2026-01-26T00:19:00,web,US,0
T000061,U0484,D0177,C0037,IP0077,M0070,42.4,2026-01-15T03:02:00,mobile,NG,0
T000062,U0283,D0038,C0043,IP0221,M0017,686.98,2026-01-18T19:30:00,mobile,GB,0
T000063,U0461,D0011,C0256,IP0184,M0027,695.02,2026-01-30T08:31:00,pos,US,0
T000064,U0182,D0144,C0159,IP0209,M0080,129.87,2026-02-09T03:43:00,web,RU,0
T000065,U0084,D0046,C0184,IP0212,M0004,37.4,2026-02-05T20:19:00,pos,GB,0
T000066,U0401,D0106,C0164,IP0128,M0035,257.46,2026-02-11T16:30:00,pos,US,1
T000067,U0196,D0010,C0205,IP0241,M0029,25.23,2026-02-13T09:43:00,mobile,GB,0
T000068,U0157,D0059,C0198,IP0115,M0004,550.72,2026-01-09T05:52:00,mobile,GB,0
T000069,U0143,D0018,C0522,IP0143,M0045,44.09,2026-01-06T09:45:00,mobile,BR,0
T000070,U0432,D0138,C0119,IP0170,M0004,166.0,2026-01-16T04:52:00,mobile,IN,0
T000071,U0298,D0068,C0611,IP0020,M0014,12.29,2026-02-10T18:09:00,mobile,GB,0
T000072,U0374,D0081,C0524,IP0224,M0078,611.68,2026-02-01T08:35:00,web,CA,0
T000073,U0461,D0148,C0046,IP0098,M0033,219.4,2026-02-17T03:46:00,pos,CA,0
T000074,U0001,D0134,C0442,IP0101,M0047,283.32,2026-01-08T00:37:00,web,BR,0
T000075,U0472,D0085,C0128,IP0161,M0085,353.71,2026-02-14T07:03:00,pos,GB,0
T000076,U0260,D0080,C0413,IP0210,M0042,51.25,2026-02-23T21:38:00,pos,GB,0
T000077,U0284,D0033,C0389,IP0099,M0054,178.29,2026-01-06T04:12:00,pos,BR,0
T000078,U0463,D0045,C0562,IP0155,M0052,534.57,2026-02-26T04:01:00,web,GB,0
T000079,U0147,D0054,C0622,IP0221,M0075,148.76,2026-02-06T18:15:00,pos,GB,0
T000080,U0239,D0114,C0219,IP0227,M0087,286.23,2026-01-29T18:17:00,pos,CA,0
T000081,U0407,D0044,C0528,IP0044,M0037,1245.95,2026-02-22T16:13:00,pos,BR,0
T000082,U0318,D0086,C0318,IP0048,M0031,76.88,2026-02-08T05:23:00,web,RU,0
T000083,U0102,D0038,C0251,IP0013,M0006,24.48,2026-01-26T21:04:00,mobile,NG,0
T000084,U0436,D0019,C0645,IP0234,M0054,188.6,2026-01-18T17:19:00,pos,IN,0
T000085,U0368,D0179,C0410,IP0197,M0064,29.58,2026-01-24T10:56:00,web,IN,1
T000086,U0336,D0177,C0436,IP0003,M0014,192.36,2026-03-01T19:43:00,web,IN,0
T000087,U0412,D0179,C0571,IP0238,M0007,62.65,2026-01-09T04:35:00,web,RU,0
T000088,U0063,D0117,C0544,IP0069,M0060,206.45,2026-02-09T00:10:00,pos,NG,0
T000089,U0163,D0114,C0562,IP0259,M0055,147.94,2026-02-18T12:01:00,mobile,IN,0
T000090,U0381,D0122,C0254,IP0231,M0034,93.15,2026-01-12T21:24:00,pos,GB,1
T000091,U0393,D0134,C0245,IP0249,M0081,16.56,2026-02-28T19:16:00,mobile,CA,0
T000092,U0040,D0074,C0344,IP0121,M0035,61.67,2026-02-18T02:08:00,mobile,NG,0
T000093,U0042,D0036,C0393,IP0078,M0030,148.09,2026-02-20T18:25:00,pos,IN,1
T000094,U0362,D0055,C0418,IP0033,M0054,56.29,2026-02-11T21:17:00,mobile,NG,0
T000095,U0239,D0107,C0431,IP0032,M0027,52.59,2026-01-27T22:14:00,mobile,RU,0
T000096,U0300,D0179,C0390,IP0011,M0074,84.94,2026-01-10T07:30:00,mobile,US,0
T000097,U0483,D0091,C0430,IP0153,M0050,30.5,2026-01-31T13:24:00,pos,BR,1
T000098,U0377,D0140,C0225,IP0113,M0063,106.58,2026-01-04T06:28:00,mobile,CA,1
T000099,U0249,D0008,C0415,IP0200,M0044,66.35,2026-02-16T05:09:00,pos,IN,0
T000100,U0431,D0120,C0547,IP0066,M0080,186.4,2026-01-12T00:17:00,web,CA,0
T000101,U0304,D0145,C0439,IP0014,M0011,174.5,2026-01-15T21:32:00,web,RU,0
T000102,U0237,D0047,C0389,IP0026,M0034,353.27,2026-02-26T18:16:00,mobile,IN,0
T000103,U0233,D0084,C0285,IP0173,M0049,178.28,2026-01-28T16:47:00,mobile,GB,0
T000104,U0428,D0021,C0553,IP0241,M0003,969.69,2026-01-31T12:01:00,web,GB,0
T000105,U0115,D0167,C0042,IP0036,M0084,356.47,2026-02-06T21:09:00,web,IN,0
T000106,U0103,D0006,C0130,IP0079,M0031,166.32,2026-01-26T16:10:00,mobile,BR,0
T000107,U0059,D0145,C0263,IP0112,M0060,15.29,2026-02-06T02:15:00,mobile,IN,0
T000108,U0311,D0156,C0319,IP0059,M0021,843.22,2026-01-20T00:32:00,web,NG,0
T000109,U0014,D0080,C0204,IP0193,M0051,172.04,2026-02-05T09:11:00,web,NG,0
T000110,U0354,D0161,C0309,IP0125,M0014,225.69,2026-02-12T02:52:00,pos,NG,0
T000111,U0413,D0031,C0546,IP0022,M0045,38.79,2026-02-01T18:42:00,mobile,BR,0
T000112,U0190,D0018,C0431,IP0175,M0002,509.39,2026-02-07T13:27:00,mobile,US,0
T000113,U0222,D0093,C0446,IP0236,M0020,114.8,2026-02-14T00:05:00,web,BR,0
T000114,U0268,D0167,C0552,IP0139,M0079,51.86,2026-02-01T05:11:00,mobile,CA,0
T000115,U0224,D0152,C0252,IP0138,M0042,175.31,2026-01-05T15:48:00,web,GB,0
T000116,U0452,D0116,C0584,IP0125,M0060,309.68,2026-01-17T20:04:00,pos,BR,0
T000117,U0195,D0087,C0333,IP0015,M0064,16.6,2026-02-12T08:52:00,web,CA,1
T000118,U0109,D0091,C0287,IP0133,M0044,59.18,2026-02-21T09:25:00,pos,BR,0
T000119,U0451,D0071,C0196,IP0006,M0067,70.56,2026-01-05T14:19:00,web,IN,0
T000120,U0369,D0105,C0247,IP0251,M0072,193.46,2026-03-01T17:28:00,pos,CA,0
T000121,U0331,D0126,C0096,IP0230,M0003,111.49,2026-02-10T11:56:00,mobile,IN,1
T000122,U0208,D0178,C0596,IP0125,M0040,61.05,2026-01-13T13:02:00,mobile,CA,0
T000123,U0284,D0136,C0564,IP0177,M0055,46.06,2026-01-13T00:41:00,mobile,GB,1
T000124,U0360,D0117,C0258,IP0139,M0040,494.64,2026-02-20T08:15:00,web,US,0
T000125,U0370,D0050,C0549,IP0162,M0016,138.59,2026-01-03T11:22:00,pos,IN,0
T000126,U0099,D0056,C0604,IP0248,M0036,47.41,2026-01-27T00:38:00,pos,NG,1
T000127,U0145,D0026,C0233,IP0100,M0038,25.39,2026-01-12T13:17:00,mobile,IN,0
T000128,U0155,D0004,C0047,IP0065,M0036,11.09,2026-01-18T12:33:00,web,NG,0
T000129,U0150,D0179,C0503,IP0065,M0082,53.18,2026-02-21T05:56:00,web,RU,0
T000130,U0007,D0147,C0491,IP0146,M0061,103.63,2026-02-08T06:07:00,mobile,GB,0
T000131,U0095,D0014,C0117,IP0130,M0062,246.37,2026-02-22T20:54:00,web,CA,0
T000132,U0252,D0019,C0153,IP0028,M0020,163.44,2026-01-21T07:22:00,pos,GB,0
T000133,U0044,D0064,C0427,IP0061,M0072,89.38,2026-01-19T07:10:00,pos,NG,0
T000134,U0405,D0159,C0390,IP0116,M0067,49.96,2026-02-05T05:27:00,mobile,CA,0
T000135,U0153,D0151,C0583,IP0220,M0040,127.89,2026-01-24T11:45:00,pos,US,0
T000136,U0313,D0026,C0217,IP0107,M0081,103.58,2026-01-11T15:36:00,mobile,BR,0
T000137,U0042,D0041,C0566,IP0123,M0023,146.64,2026-01-09T13:03:00,web,IN,0
T000138,U0002,D0105,C0609,IP0231,M0089,49.42,2026-02-05T21:48:00,mobile,GB,0
T000139,U0017,D0060,C0465,IP0148,M0037,462.29,2026-02-22T17:47:00,web,BR,0
T000140,U0120,D0068,C0118,IP0102,M0055,10.91,2026-01-29T15:36:00,pos,IN,0
T000141,U0332,D0039,C0074,IP0137,M0019,41.59,2026-01-05T10:48:00,web,IN,0
T000142,U0406,D0079,C0128,IP0148,M0057,52.59,2026-01-07T20:18:00,mobile,BR,0
T000143,U0156,D0180,C0513,IP0207,M0035,35.79,2026-01-10T05:46:00,pos,CA,0
T000144,U0225,D0021,C0331,IP0021,M0056,79.53,2026-01-18T07:02:00,pos,GB,1
T000145,U0014,D0024,C0590,IP0118,M0087,79.55,2026-02-27T19:05:00,pos,US,0
T000146,U0392,D0173,C0042,IP0138,M0074,203.45,2026-01-30T09:10:00,web,CA,1
T000147,U0266,D0167,C0186,IP0227,M0036,64.87,2026-02-02T10:11:00,pos,CA,0
T000148,U0326,D0126,C0357,IP0047,M0061,190.2,2026-02-18T02:57:00,mobile,GB,0
T000149,U0165,D0172,C0338,IP0054,M0021,43.19,2026-02-25T21:27:00,mobile,BR,0
T000150,U0254,D0074,C0038,IP0206,M0071,54.24,2026-02-10T12:26:00,mobile,US,0
T000151,U0162,D0065,C0414,IP0166,M0015,154.72,2026-02-24T11:15:00,pos,RU,0
T000152,U0001,D0169,C0056,IP0237,M0053,125.48,2026-01-15T01:43:00,web,NG,0
T000153,U0186,D0160,C0453,IP0256,M0081,194.64,2026-02-15T13:53:00,web,IN,0
T000154,U0137,D0141,C0449,IP0068,M0037,42.92,2026-01-25T01:57:00,pos,CA,0
T000155,U0063,D0008,C0319,IP0123,M0021,1555.15,2026-02-24T03:38:00,pos,US,0
T000156,U0283,D0105,C0117,IP0048,M0029,91.27,2026-01-18T22:28:00,mobile,US,0
T000157,U0332,D0040,C0522,IP0256,M0038,216.93,2026-02-10T12:01:00,pos,GB,0
T000158,U0213,D0124,C0468,IP0242,M0032,946.42,2026-01-21T12:22:00,pos,IN,0
T000159,U0197,D0049,C0283,IP0070,M0009,105.42,2026-01-08T03:51:00,mobile,GB,0
T000160,U0479,D0130,C0290,IP0137,M0001,82.23,2026-02-04T11:48:00,pos,GB,0
T000161,U0429,D0151,C0458,IP0251,M0020,644.12,2026-01-05T22:41:00,pos,CA,1
T000162,U0177,D0086,C0330,IP0194,M0059,50.96,2026-01-05T00:43:00,web,BR,1
T000163,U0123,D0147,C0421,IP0197,M0030,87.9,2026-02-23T05:50:00,web,GB,0
T000164,U0382,D0122,C0156,IP0196,M0050,86.29,2026-02-27T13:15:00,mobile,US,0
T000165,U0065,D0129,C0451,IP0170,M0013,24.15,2026-02-23T10:51:00,web,NG,0
T000166,U0467,D0117,C0420,IP0008,M0019,266.36,2026-02-24T13:03:00,pos,IN,0
T000167,U0039,D0073,C0347,IP0194,M0037,280.29,2026-01-11T15:26:00,pos,BR,1
T000168,U0204,D0167,C0547,IP0042,M0043,179.06,2026-01-10T07:50:00,mobile,GB,0
T000169,U0321,D0073,C0037,IP0194,M0063,424.85,2026-02-05T08:11:00,pos,US,1
T000170,U0121,D0162,C0093,IP0148,M0030,267.95,2026-02-10T11:25:00,mobile,US,0
T000171,U0390,D0163,C0171,IP0052,M0057,79.46,2026-02-16T18:32:00,pos,GB,0
T000172,U0463,D0008,C0058,IP0024,M0042,12.78,2026-01-31T18:20:00,mobile,GB,0
T000173,U0192,D0111,C0544,IP0075,M0032,11.94,2026-02-04T07:53:00,mobile,NG,0
T000174,U0350,D0047,C0081,IP0088,M0023,369.8,2026-01-04T22:21:00,pos,RU,0
T000175,U0196,D0159,C0598,IP0124,M0064,114.78,2026-02-16T15:37:00,web,IN,0
T000176,U0237,D0164,C0262,IP0131,M0059,212.42,2026-01-04T15:09:00,pos,US,0
T000177,U0461,D0120,C0560,IP0148,M0087,119.86,2026-01-18T09:35:00,web,US,1
T000178,U0227,D0089,C0435,IP0154,M0082,98.43,2026-01-07T17:22:00,pos,GB,0
T000179,U0234,D0078,C0495,IP0102,M0050,241.23,2026-02-03T01:40:00,web,IN,1
T000180,U0196,D0147,C0303,IP0184,M0074,375.41,2026-02-16T20:02:00,pos,GB,0
T000181,U0012,D0169,C0009,IP0203,M0036,48.28,2026-01-21T00:01:00,pos,RU,0
T000182,U0352,D0013,C0236,IP0255,M0037,38.86,2026-01-14T16:41:00,pos,RU,0
T000183,U0181,D0057,C0257,IP0098,M0080,128.8,2026-02-06T05:10:00,pos,RU,0
T000184,U0370,D0169,C0100,IP0071,M0081,142.33,2026-01-03T20:13:00,pos,BR,1
T000185,U0021,D0080,C0594,IP0226,M0005,24.05,2026-02-12T09:01:00,mobile,BR,0
T000186,U0068,D0024,C0426,IP0152,M0042,43.79,2026-02-07T05:00:00,web,IN,1
T000187,U0068,D0139,C0514,IP0188,M0068,308.23,2026-02-01T23:52:00,mobile,RU,0
T000188,U0085,D0066,C0347,IP0247,M0038,49.74,2026-02-07T03:31:00,web,CA,0
T000189,U0494,D0020,C0407,IP0073,M0029,44.03,2026-02-28T02:17:00,pos,GB,0
T000190,U0047,D0102,C0550,IP0008,M0034,48.38,2026-02-06T04:55:00,web,CA,0
T000191,U0189,D0173,C0391,IP0135,M0075,189.15,2026-01-18T18:52:00,pos,GB,0
T000192,U0056,D0173,C0026,IP0120,M0061,229.73,2026-01-13T23:33:00,pos,NG,0
T000193,U0168,D0157,C0065,IP0114,M0083,132.11,2026-02-12T03:01:00,pos,RU,0
T000194,U0238,D0180,C0419,IP0155,M0084,684.71,2026-01-10T22:18:00,web,IN,0
T000195,U0024,D0010,C0119,IP0156,M0064,469.01,2026-01-15T04:14:00,web,IN,0
T000196,U0455,D0138,C0465,IP0070,M0050,180.73,2026-01-08T13:28:00,mobile,BR,0
T000197,U0487,D0179,C0159,IP0215,M0076,115.45,2026-02-25T10:47:00,mobile,BR,0
T000198,U0051,D0126,C0034,IP0209,M0036,122.91,2026-01-01T23:52:00,pos,GB,0
T000199,U0112,D0114,C0372,IP0228,M0031,99.19,2026-01-10T22:10:00,web,BR,1
T000200,U0189,D0140,C0408,IP0184,M0008,34.8,2026-02-07T07:22:00,mobile,IN,0
T000201,U0496,D0032,C0218,IP0233,M0012,20.35,2026-01-12T09:15:00,pos,BR,0
T000202,U0306,D0006,C0250,IP0026,M0043,338.94,2026-01-02T02:09:00,web,RU,0
T000203,U0290,D0053,C0213,IP0036,M0071,41.11,2026-02-01T12:22:00,pos,IN,0
T000204,U0417,D0060,C0611,IP0169,M0019,365.03,2026-01-24T18:28:00,web,GB,0
T000205,U0440,D0038,C0257,IP0067,M0070,88.31,2026-02-25T10:53:00,web,US,0
T000206,U0339,D0007,C0367,IP0068,M0002,156.47,2026-01-31T20:59:00,web,NG,1
T000207,U0166,D0005,C0054,IP0090,M0034,165.91,2026-02-09T10:40:00,web,BR,1
T000208,U0216,D0135,C0488,IP0059,M0009,38.88,2026-01-24T16:48:00,mobile,RU,0
T000209,U0186,D0132,C0516,IP0056,M0058,38.01,2026-01-21T13:24:00,web,NG,0
T000210,U0023,D0169,C0032,IP0155,M0059,125.33,2026-01-29T04:30:00,web,CA,0
T000211,U0434,D0103,C0111,IP0219,M0088,8.39,2026-02-02T00:52:00,mobile,BR,1
T000212,U0466,D0114,C0330,IP0038,M0011,83.11,2026-02-16T23:27:00,pos,IN,0
T000213,U0034,D0033,C0649,IP0141,M0080,87.68,2026-01-01T04:40:00,pos,NG,1
T000214,U0365,D0084,C0544,IP0196,M0077,816.53,2026-01-13T06:19:00,mobile,CA,0
T000215,U0259,D0155,C0118,IP0221,M0013,110.69,2026-02-07T17:23:00,pos,BR,0
T000216,U0450,D0142,C0463,IP0111,M0056,284.66,2026-01-24T16:16:00,web,CA,0
T000217,U0174,D0117,C0098,IP0205,M0054,84.62,2026-01-31T06:09:00,mobile,CA,0
T000218,U0161,D0171,C0157,IP0131,M0048,160.55,2026-01-29T01:24:00,pos,CA,0
T000219,U0035,D0024,C0443,IP0044,M0012,185.85,2026-01-03T19:20:00,web,BR,1
T000220,U0379,D0096,C0062,IP0067,M0072,28.72,2026-01-21T08:50:00,pos,NG,0
T000221,U0288,D0085,C0363,IP0063,M0053,60.73,2026-01-29T16:23:00,pos,RU,0
T000222,U0217,D0015,C0320,IP0197,M0073,115.98,2026-01-13T03:00:00,mobile,US,1
T000223,U0296,D0130,C0494,IP0109,M0020,250.71,2026-01-15T16:26:00,web,RU,0
T000224,U0056,D0090,C0286,IP0189,M0015,120.02,2026-02-09T03:37:00,pos,IN,0
T000225,U0414,D0110,C0274,IP0014,M0078,152.26,2026-01-07T07:31:00,web,IN,0
T000226,U0140,D0180,C0360,IP0159,M0044,40.72,2026-03-01T01:46:00,web,IN,0
T000227,U0446,D0037,C0146,IP0206,M0009,78.94,2026-01-26T12:13:00,pos,BR,0
T000228,U0498,D0008,C0221,IP0047,M0068,69.57,2026-01-06T19:38:00,mobile,CA,0
T000229,U0233,D0088,C0320,IP0081,M0048,88.97,2026-01-07T09:36:00,pos,GB,0
T000230,U0398,D0146,C0160,IP0044,M0007,196.15,2026-02-21T02:47:00,web,RU,0
T000231,U0317,D0013,C0454,IP0042,M0035,134.63,2026-01-02T19:25:00,pos,CA,0
T000232,U0249,D0156,C0280,IP0227,M0054,953.65,2026-02-16T08:11:00,web,RU,1
T000233,U0263,D0030,C0114,IP0177,M0056,130.31,2026-01-11T16:04:00,mobile,BR,1
T000234,U0348,D0152,C0316,IP0250,M0068,211.79,2026-02-20T18:55:00,web,IN,0
T000235,U0203,D0154,C0210,IP0029,M0001,386.65,2026-02-04T11:00:00,mobile,IN,0
T000236,U0393,D0036,C0336,IP0131,M0038,475.05,2026-02-22T11:23:00,web,US,0
T000237,U0255,D0111,C0390,IP0090,M0017,51.06,2026-01-05T11:00:00,pos,BR,0
T000238,U0118,D0179,C0363,IP0257,M0069,102.54,2026-02-23T06:42:00,web,CA,1
T000239,U0442,D0011,C0471,IP0224,M0003,131.07,2026-01-22T13:59:00,web,RU,0
T000240,U0161,D0148,C0415,IP0220,M0074,631.06,2026-01-08T12:57:00,pos,BR,0
T000241,U0214,D0075,C0022,IP0059,M0052,38.44,2026-01-10T20:43:00,mobile,IN,0
T000242,U0411,D0159,C0371,IP0236,M0089,150.15,2026-01-16T04:35:00,web,CA,0
T000243,U0433,D0028,C0604,IP0125,M0056,403.55,2026-02-28T06:09:00,mobile,NG,1
T000244,U0041,D0102,C0227,IP0159,M0044,6.48,2026-01-25T00:38:00,mobile,RU,0
T000245,U0087,D0020,C0523,IP0059,M0068,21.68,2026-02-20T08:27:00,web,RU,0
T000246,U0179,D0090,C0106,IP0076,M0031,59.61,2026-01-10T04:08:00,web,GB,0
T000247,U0102,D0045,C0078,IP0079,M0084,1144.73,2026-01-04T05:53:00,web,RU,1
T000248,U0322,D0127,C0594,IP0238,M0073,138.52,2026-02-15T01:12:00,mobile,BR,1
T000249,U0474,D0145,C0324,IP0166,M0081,117.26,2026-02-03T03:47:00,web,CA,1
T000250,U0035,D0121,C0311,IP0227,M0081,306.24,2026-03-01T14:27:00,mobile,NG,0
T000251,U0029,D0091,C0473,IP0038,M0040,109.27,2026-01-30T19:18:00,mobile,US,0
T000252,U0030,D0095,C0093,IP0147,M0010,42.88,2026-01-24T13:48:00,pos,NG,0
T000253,U0260,D0099,C0568,IP0237,M0075,29.46,2026-01-05T08:54:00,pos,US,0
T000254,U0231,D0147,C0620,IP0097,M0042,152.85,2026-01-29T08:48:00,mobile,NG,0
T000255,U0078,D0016,C0352,IP0231,M0014,228.6,2026-03-01T06:40:00,pos,US,0
T000256,U0259,D0166,C0254,IP0089,M0006,222.36,2026-01-27T23:28:00,pos,CA,0
T000257,U0225,D0135,C0382,IP0082,M0047,290.2,2026-01-22T16:06:00,mobile,CA,0
T000258,U0210,D0087,C0343,IP0027,M0081,108.88,2026-02-26T20:27:00,web,GB,0
T000259,U0049,D0143,C0259,IP0198,M0037,137.16,2026-02-13T12:09:00,pos,RU,0
T000260,U0337,D0155,C0084,IP0077,M0043,58.6,2026-02-24T10:12:00,pos,BR,0
T000261,U0073,D0090,C0402,IP0159,M0084,121.87,2026-02-19T15:12:00,web,NG,0
T000262,U0363,D0022,C0386,IP0159,M0072,258.85,2026-01-06T12:04:00,pos,RU,0
T000263,U0169,D0033,C0434,IP0048,M0083,514.04,2026-01-10T17:52:00,pos,GB,0
T000264,U0010,D0093,C0220,IP0159,M0024,43.77,2026-02-16T16:32:00,mobile,RU,0
T000265,U0249,D0050,C0159,IP0116,M0018,86.76,2026-01-17T19:58:00,web,GB,0
T000266,U0433,D0026,C0345,IP0020,M0085,183.06,2026-01-18T00:16:00,pos,IN,0
T000267,U0306,D0097,C0186,IP0079,M0021,84.4,2026-02-04T22:37:00,pos,RU,0
T000268,U0320,D0043,C0421,IP0225,M0006,345.69,2026-02-06T14:29:00,mobile,BR,0
T000269,U0369,D0061,C0292,IP0228,M0079,73.67,2026-02-02T16:02:00,pos,RU,0
T000270,U0230,D0060,C0481,IP0123,M0040,325.75,2026-01-02T09:26:00,web,GB,0
T000271,U0348,D0147,C0289,IP0226,M0060,239.22,2026-01-20T16:29:00,mobile,NG,0
T000272,U0271,D0108,C0620,IP0083,M0026,134.55,2026-01-20T07:59:00,web,RU,1
T000273,U0129,D0014,C0568,IP0247,M0048,70.98,2026-02-27T06:24:00,web,BR,0
T000274,U0434,D0133,C0086,IP0064,M0037,35.1,2026-02-25T10:22:00,web,GB,0
T000275,U0231,D0132,C0094,IP0076,M0056,1401.26,2026-02-07T13:46:00,web,RU,0
T000276,U0231,D0090,C0055,IP0014,M0054,183.31,2026-01-28T09:17:00,mobile,NG,0
T000277,U0192,D0061,C0384,IP0198,M0011,104.2,2026-01-18T04:25:00,web,US,0
T000278,U0164,D0026,C0141,IP0172,M0019,63.79,2026-01-14T03:09:00,web,GB,0
